Book ,Author,Year finished,Number of pages,Genre ,Sub
Black Chalk,Christopher Yates,2018,368,Fiction,Thriller/Mystery
Born a Crime,Trevor Noah,2018,304,Non-fiction,Memoir
The Rosie Project,Graeme Simsion,2018,295,Fiction,Contemporary Fiction
The Rosie Effect,Graeme Simsion,2018,368,Fiction,Contemporary Fiction
Blink,Malcolm Gladwell,2018,296,Non-fiction,Science
Little Fires Everywhere,Celest Eng,2018,352,Fiction,Contemporary Fiction
Ouliers,Malcom Gladwell,2018,336,Non-fiction,Science
Between the World and Me,Ta-Nehesi Coates,2018,176,Non-fiction,Memoir
The Goldfinch,Donna Tartt,2018,771,Fiction,Thriller/Mystery
The Weight of Ink,Rachel Kadish,2018,704,Fiction,Historical Fiction
The DaVinci Code,Dan Brown,2019,489,Fiction,Thriller/Mystery
An American Marriage,Tayari Jones,2019,321,Fiction,Contemporary Fiction
The Secret Life of Bees,Sue Monk Kidd,2019,302,Fiction,Contemporary Fiction
Cognition and Reality,Ulric Neisser,2019,195,Non-fiction,Science
Educated,Tara Westover,2019,352,Non-fiction,Memoir
A Thousand Splendid Suns,Khaled Hosseini,2019,432,Fiction,Contemporary Fiction
Of Mice and Men,John Steinbeck ,2019,107,Fiction,Classics
Night,Elie Wiesel ,2019,120,Non-fiction,Memoir
Becoming,Michelle Obama,2019,448,Non-fiction,Memoir
Sapiens: A Brief History of Humankind,Yuval Harari,2019,464,Non-fiction,Science
1984,George Orwell,2019,328,Fiction,Science Fiction
Talking to Strangers,Malcolm Gladwell,2019,401,Non-fiction,Science
Heavy,Kiese Laymon,2019,257,Non-fiction,Memoir
Death is Hard Work,Khaled Khalifa,2019,192,Fiction,Contemporary Fiction
The Handmaid's Tale,Margaret Atwood,2019,325,Fiction,Dystopian Fiction
Over the Top,Jonathan Van Ness,2020,288,Non-fiction,Memoir
These Truths,Jill Lepore,2020,960,Non-fiction,History
All the Light We Cannot See,Anthony Doerr,2020,544,Fiction,Historical Fiction
The Silent Patient,Alex Michaelides,2020,336,Fiction,Thriller/Mystery
Where the Crawdads Sing,Delia Owens,2020,384,Fiction,Thriller/Mystery
All the Shah's Men,Stephen Kinzer,2020,296,Non-fiction,History
Good Omens,Neil Gaiman and Terry Pratchett,2020,512,Fiction,Fantasy
No Hard Feelings,Liz Fosslien and Molly Duffy,2020,304,Non-fiction,Personal Development
To Kill a Mockingbird,Harper Lee,2020,384,Fiction,Classics
The Leavers,Lisa Ko,2020,352,Fiction,Contemporary Fiction
The Water Dancer,Ta-Nehesi Coates,2020,416,Fiction,Historical Fiction
Station Eleven,Emily St. John Mandel,2020,352,Fiction,Dystopian Fiction
Real Life,Brandon Taylor,2020,338,Fiction,Contemporary Fiction
I Know Why the Caged Bird Sings,Maya Angelou,2020,371,Non-fiction,Memoir
Levels of Life,Julian Barnes,2020,144,Non-fiction,Memoir
Sula,Toni Morrison,2020,192,Fiction,Memoir
Habit ,Charles Duhiqq,2021,416,Non-fiction,Personal Development
When Breath Becomes Air,Paul Kalanithi,2021,228,Non-fiction,Memoir
Hidden Valley Road,Robert Kolker,2021,400,Non-fiction,Science
The Ballad of Songbirds and Snakes,Suzanne Collins,2021,517,Fiction,Dystopian Fiction
Long Bright River,Liz Moore,2021,496,Fiction,Thriller/Mystery
Homegoing,Yaa Gyasi,2021,320,Fiction,Historical Fiction
Malibu Rising,Taylor Jenkins Reid,2022,400,Fiction,Contemporary Fiction
Elanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,2022,336,Fiction,Contemporary Fiction
Silver Sparrow ,Tayari Jones,2022,368,Fiction,Contemporary Fiction
Anxious People,Fredrik Backman,2022,352,Fiction,Contemporary Fiction
All Adults Here,Emma Straub ,2022,366,Fiction,Contemporary Fiction
Deacon King Kong,James McBride,2022,400,Fiction,Contemporary Fiction
The Maid: A Novel,Nita Prose,2022,304,Fiction,Thriller/Mystery
Dune ,Frank Herbert,2022,412,Fiction,Science Fiction
The Maidens,Alex Michaelides,2022,352,Fiction,Thriller/Mystery
The Glass Castle,Jeannette Walls ,2022,288,Non-fiction,Memoir
How to be Bored,Eva Hoffman,2022,168,Non-fiction,Personal Development
